r_over_D,Nu_PINN
0.0,3.8757570031688564
0.033444816053511704,5.053483270953241
0.06688963210702341,6.280526878807617
0.10033444816053512,7.570954979966397
0.13377926421404682,8.966851602803569
0.16722408026755853,10.277003246021293
0.20066889632107024,11.32776091939191
0.23411371237458195,12.208152419101852
0.26755852842809363,12.997382673678347
0.3010033444816053,13.72872547692791
0.33444816053511706,14.414125818085033
0.36789297658862874,15.055167577657752
0.4013377926421405,15.630122226368782
0.43478260869565216,16.090593123103112
0.4682274247491639,16.395417023290964
0.5016722408026755,16.548369123559752
0.5351170568561873,16.58767569735883
0.5685618729096991,16.55003199869751
0.6020066889632106,16.45897113019882
0.6354515050167224,16.32855430565133
0.6688963210702341,16.167699518139965
0.7023411371237458,15.983274803441349
0.7357859531772575,15.782189773453007
0.7692307692307692,15.571723982699298
0.802675585284281,15.358436785471433
0.8361204013377926,15.147038332021829
0.8695652173913043,14.940207312425946
0.903010033444816,14.739208489251563
0.9364548494983278,14.544774450718874
0.9698996655518394,14.357462656244914
1.003344481605351,14.177123262095973
1.0367892976588629,14.001985634616847
1.0702341137123745,13.828678374648264
1.1036789297658862,13.653230877794556
1.1371237458193981,13.472058094544531
1.1705685618729096,13.282383333966312
1.2040133779264213,13.082254215361884
1.2374581939799332,12.870398594280775
1.2709030100334449,12.646113070636652
1.3043478260869563,12.409104660050975
1.3377926421404682,12.15926823433231
1.37123745819398,11.896147813738324
1.4046822742474916,11.617827502738324
1.4381270903010035,11.318933036185355
1.471571906354515,10.988603882806729
1.5050167224080266,10.613985215113937
1.5384615384615383,10.193757203391309
1.5719063545150502,9.742916693846228
1.605351170568562,9.280313111807917
1.6387959866220734,8.820196545442768
1.6722408026755853,8.372331528566875
1.705685618729097,7.944817938024819
1.7391304347826086,7.547444744209873
1.7725752508361203,7.194477647546079
1.806020066889632,6.901564584779123
1.8394648829431437,6.6723853395814015
1.8729096989966556,6.493937828632096
1.9063545150501673,6.349079623337435
